airport_name,total_flights,delayed_flights,percentage_delayed
"Yakutat, AK: Yakutat Airport",48,11,22.916666666666664
"Punta Gorda, FL: Punta Gorda Airport",500,114,22.8
"Saginaw/Bay City/Midland, MI: MBS International",193,44,22.797927461139896
"Charleston/Dunbar, WV: Yeager",370,84,22.702702702702705
"Barrow, AK: Wiley Post/Will Rogers Memorial",62,14,22.58064516129032
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",31,7,22.58064516129032
"Latrobe, PA: Arnold Palmer Regional",76,17,22.36842105263158
"Abilene, TX: Abilene Regional",162,36,22.22222222222222
"Ogden, UT: Ogden-Hinckley",9,2,22.22222222222222
"Tyler, TX: Tyler Pounds Regional",144,32,22.22222222222222
"Adak Island, AK: Adak",9,2,22.22222222222222
"Juneau, AK: Juneau International",338,75,22.189349112426036
"Ketchikan, AK: Ketchikan International",176,39,22.15909090909091
"Clarksburg/Fairmont, WV: North Central West Virginia",68,15,22.058823529411764
"Eau Claire, WI: Chippewa Valley Regional",55,12,21.818181818181817
"Iron Mountain/Kingsfd, MI: Ford",55,12,21.818181818181817
"Paducah, KY: Barkley Regional",55,12,21.818181818181817
"Bakersfield, CA: Meadows Field",242,52,21.487603305785125
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",248,53,21.370967741935484
"Sanford, FL: Orlando Sanford International",750,160,21.333333333333336
"Aguadilla, PR: Rafael Hernandez",193,41,21.243523316062177
"Provo, UT: Provo Municipal",66,14,21.21212121212121
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",279,59,21.14695340501792
"Garden City, KS: Garden City Regional",57,12,21.052631578947366
"Seattle, WA: Seattle/Tacoma International",11460,2387,20.82897033158813
"La Crosse, WI: La Crosse Regional",174,36,20.689655172413794
"Ithaca/Cortland, NY: Ithaca Tompkins Regional",63,13,20.634920634920633
"Montgomery, AL: Montgomery Regional",284,58,20.422535211267608
"Rhinelander, WI: Rhinelander/Oneida County",59,12,20.33898305084746
"Peoria, IL: General Downing - Peoria International",359,73,20.334261838440113
"Hobbs, NM: Lea County Regional",89,18,20.224719101123593
"Sioux Falls, SD: Joe Foss Field",564,114,20.212765957446805
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",104,21,20.192307692307693
"State College, PA: University Park",114,23,20.175438596491226
"Cordova, AK: Merle K Mudhole Smith",50,10,20
"Newark, NJ: Newark Liberty International",11335,2266,19.991177767975298
"Concord, NC: Concord Padgett Regional",111,22,19.81981981981982
"Hancock/Houghton, MI: Houghton County Memorial",51,10,19.607843137254903
"Springfield, IL: Abraham Lincoln Capital",133,26,19.548872180451127
"White Plains, NY: Westchester County",972,190,19.54732510288066
"Anchorage, AK: Ted Stevens Anchorage International",1304,253,19.401840490797547
"Eugene, OR: Mahlon Sweet Field",527,102,19.35483870967742
"Valdosta, GA: Valdosta Regional",88,17,19.318181818181817
"Alpena, MI: Alpena County Regional",52,10,19.230769230769234
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",52,10,19.230769230769234
"Eagle, CO: Eagle County Regional",448,86,19.196428571428573
"San Angelo, TX: San Angelo Regional/Mathis Field",136,26,19.11764705882353
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",738,140,18.97018970189702
"Hays, KS: Hays Regional",106,20,18.867924528301888
"St. Petersburg, FL: St Pete Clearwater International",562,106,18.86120996441281
"Myrtle Beach, SC: Myrtle Beach International",525,99,18.857142857142858
"Duluth, MN: Duluth International",260,49,18.846153846153847
"Grand Forks, ND: Grand Forks International",155,29,18.70967741935484
"Salina, KS: Salina Regional",75,14,18.666666666666668
"Grand Rapids, MI: Gerald R. Ford International",1560,291,18.653846153846153
